Wavelengths,Int1,Int2
5000.0,274357.49425632914,80314.72453326624
5001.0,274399.89922976744,80327.13805880079
5002.0,274442.24010154547,80339.5328193761
5003.0,274484.51689395594,80351.90882151811
5004.0,274526.72962932184,80364.26607176162
5005.0,274568.8783299973,80376.6045766505
5006.0,274610.96301836596,80388.92434273731
5007.0,274652.98371684126,80401.22537658326
5008.0,274694.9404478679,80413.50768475879
5009.0,274736.83323391847,80425.77127384245
5010.0,274778.66209749726,80438.0161504221
5011.0,274820.4270611375,80450.24232109405
5012.0,274862.1281474024,80462.4497924634
5013.0,274903.7653788842,80474.63857114378
5014.0,274945.3387782059,80486.80866375774
5015.0,274986.8483680187,80498.96007693614
5016.0,275028.29417100374,80511.09281731864
5017.0,275069.67620987166,80523.20689155348
5018.0,275110.9945073623,80535.30230629742
5019.0,275152.24908624456,80547.37906821586
5020.0,275193.4399693169,80559.43718398265
5021.0,275234.567179406,80571.47666028011
5022.0,275275.63073936827,80583.49750379912
5023.0,275316.6306720888,80595.49972123903
5024.0,275357.56700048124,80607.48331930752
5025.0,275398.43974748906,80619.44830472098
5026.0,275439.2489360823,80631.3946842036
5027.0,275479.9945892623,80643.32246448877
5028.0,275520.6767300562,80655.23165231738
5029.0,275561.2953815227,80667.12225443957
5030.0,275601.8505667456,80678.99427761287
5031.0,275642.3423088403,80690.84772860397
5032.0,275682.77063094766,80702.68261418708
5033.0,275723.1355562385,80714.49894114518
5034.0,275763.4371079108,80726.29671626921
5035.0,275803.6753091912,80738.07594635844
5036.0,275843.85018333467,80749.83663822047
5037.0,275883.96175362286,80761.57879867074
5038.0,275924.01004336635,80773.30243453315
5039.0,275963.99507590296,80785.00755263948
5040.0,276003.9168745987,80796.69415982989
5041.0,276043.775462846,80808.36226295221
5042.0,276083.5708640669,80820.01186886297
5043.0,276123.30310170876,80831.64298442607
5044.0,276162.97219924827,80843.25561651403
5045.0,276202.578180188,80854.8497720069
5046.0,276242.1210680587,80866.42545779304
5047.0,276281.6008864181,80877.98268076868
5048.0,276321.01765885035,80889.52144783777
5049.0,276360.3714089683,80901.04176591271
5050.0,276399.66216040996,80912.54364191319
5051.0,276438.889936842,80924.02708276737
5052.0,276478.05476195645,80935.49209541077
5053.0,276517.1566594733,80946.93868678714
5054.0,276556.19565313833,80958.36686384772
5055.0,276595.17176672467,80969.77663355185
5056.0,276634.08502403175,80981.16800286647
5057.0,276672.9354488859,80992.54097876648
5058.0,276711.72306513874,81003.8955682341
5059.0,276750.4478966701,81015.23177825988
5060.0,276789.1099673842,81026.54961584148
5061.0,276827.70930121356,81037.84908798487
5062.0,276866.24592211464,81049.13020170295
